id,name,summary,cultivation,toxicity
0,Adelonema wallisii,"Adelonema wallisii (synonym Homalomena wallisii) is a species of aroid plant (family Araceae) native to Venezuela, Colombia, and Panama.

",No data available,No data available
1,Adenium obesum,"Adenium obesum, more commonly known as a desert rose, is a poisonous species of flowering plant belonging to the tribe Nerieae of the subfamily Apocynoideae of the dogbane family, Apocynaceae. It is native to the Sahel regions south of the Sahara (from Mauritania and Senegal to Sudan), tropical and subtropical eastern and southern Africa, as well as the Arabian Peninsula. Other names for the flower include Sabi star, kudu, mock azalea, and impala lily. Adenium obesum is a popular houseplant and bonsai in temperate regions.

","Adenium obesum is a popular houseplant and bonsai in temperate regions. It requires a sunny location and a minimum indoor temperature in winter of 10 °C (50 °F). It thrives on a xeric watering regime as required by cacti. A. obesum is typically propagated by seed or stem cuttings.  The numerous hybrids are propagated mainly by grafting on to seedling rootstock.  While plants grown from seed are more likely to have the swollen caudex at a young age, with time many cutting-grown plants cannot be distinguished from seed-grown plants. Like many plants, Adenium obesum can also be propagated in vitro using plant tissue culture.
This plant has gained the Royal Horticultural Society's Award of Garden Merit.",No data available
2,Adiantum aethiopicum,"Adiantum aethiopicum, also known as the common maidenhair fern, is a small fern of widespread distribution, occurring in Africa, Australia, Norfolk Island and New Zealand.
Adiantum aethiopicum was one of the many species first described by Linnaeus, in this case in his Systema naturae in 1759. The specific epithet aethiopicum in this sense was the Latin term for Africa south of the then known world, that is to say, more or less Africa south of Egypt.
In South Africa the species occurs widely, though not generally profusely, mainly on moist sandstone cliffs in full shade. In the Cape Peninsula it is uncommon and grows mainly at the highest locally available altitudes, generally about 600–1,085 m (2,000–3,600 ft).
Adiantum aethiopicum grows in spreading clumps of fronds from 10 to 45 cm (4 to 18 in) in height. The rhizomes are wiry and branched. The fronds are horizontal and layered, or upright. They are divided into two or three and have many small wedge-shaped segments, each of which has sori along its margins underneath.
A common plant, often seen growing in moist areas. In Australia it is found near by creeks or in open forest, where it may form a large colony.
The 1889 book 'The Useful Native Plants of Australia’ records that ""This plant is said to possess medicinal properties, being
slightly astringent and emetic. It has been used in Europe in making ""Sirop de Capt'llaire,"" a demulcent drink, employed in
diseases of the chest.""","Adiantum aethiopicum is a popular and well known ornamental plant. Propagation is from plant division or by spores. In cultivation the Maidenhair fern prefers a well-lit situation inside, but a shady place outdoors without draughts. It is suitable for terrariums and hanging baskets. It is fairly easy to grow, and will flourish in moist garden soil or potting mix.",No data available
3,Adiantum capillus-veneris,"Adiantum capillus-veneris, the Southern maidenhair fern, black maidenhair fern, maidenhair fern, and venus hair fern,  is a species of ferns in the genus Adiantum and the family Pteridaceae with a subcosmopolitan worldwide distribution. It is cultivated as a popular garden fern and houseplant.","Adiantum capillus-veneris  is cultivated and widely available around the world for planting in natural landscape native plants and traditional shade gardens, for outdoor container gardens, and commonly as an indoor houseplant.
Adiantum × mairisii is a winter hardy hybrid of Adiantum capillus-veneris with another species, which is likely to be one of Adiantum raddianum, Adiantum aethiopicum, or Adiantum cuneatum.
As a houseplant, Adiantum capillus-veneris  requires filtered light and very humid conditions. It should be grown in soil rich in organic matter and should be watered frequently but lightly, to keep the roots damp but not drenched. The temperature should not fall below 12 °C (54 °F). It is propagated by dividing, making sure each clump has a section of rhizome.",No data available
4,Adiantum formosum,"Adiantum formosum, known as the giant maidenhair or black stem maidenhair is a fern found in Australia and New Zealand. It was one of the many species authored by Scottish botanist Robert Brown, appearing in his 1810 work Prodromus Florae Novae Hollandiae et Insulae Van Diemen. Its species name is the Latin adjective formosus ""handsome"" or ""beautiful"".
Adiantum formosum is an attractive plant, with fronds up to 120 cm (48 in) high. The rhizome of this species is unusually deep, up to 60 cm (24 in) below into the earth. The stems are black and can reach 90 cm (36 in) in length, while the fronds or blades are triangular with rectangular segments. The last segment of the frond is irregular and asymmetrical, on a short stem. This maidenhair fern can grow to 2 metres (7 ft) tall. The smallest segments of the fronds are the pinnules, which are wedge-shaped, rectangular or trapezoid. They have 1–10 sori along the margins underneath.
Adiantum formosum is found in Queensland, and New South Wales, and into Victoria, where it is less common. It also occurs in New Zealand. It is often seen growing in moist areas or along streams usually on alluvial soils,  Adiantum formosum is generally found in rainforest or in nearby open eucalyptus forest, where it may form a large colony.
Easy to grow in cultivation, Adiantum formosum makes a good subject for container gardening. It appears to go dormant in cooler months and grow rapidly during the summer. A smaller, variegated form is commercially available and cultivated.

",No data available,No data available
5,Adiantum peruvianum,"Adiantum peruvianum, the silver-dollar fern or Peruvian maidenhair, is a fern in the genus Adiantum. It has black stems and large flat pinnules. It is frequently grown as an ornamental greenhouse or houseplant.",No data available,No data available
6,Aechmea chantinii,"Aechmea chantinii, commonly known as Amazonian zebra plant, is a species bromeliad often used as an ornamental plant. It is native to the Amazon Rainforest in Brazil, Venezuela, Colombia, Ecuador and Peru.
The following subspecies are recognized :

Aechmea chantinii var. chantinii  (Carrière) Baker, 1889  - most of species range
Aechmea chantinii var. fuchsii H.Luther (1987 publ. 1988).   - Ecuador
There are numerous cultivars of A. chantinii.",No data available,No data available
7,Aechmea fasciata,"Aechmea fasciata is a species of flowering plant in the Bromeliaceae family. It is commonly called the silver vase or urn plant and is native to Brazil. This plant is probably the best known species in this genus, and it is often grown as a houseplant in temperate areas.

","Aechmea fasciata requires partial shade to bright indirect light, and can handle brief periods of early morning sunlight, but should be shielded from the sun during the hottest parts of the day. Excessive sun exposure will cause burning on the foliage and dehydration of the plant; comparatively, reduced sunlight or darker conditions will prevent the plant's characteristic coloration and striping from developing fully, instead reverting to a deeper hue of pastel-green/teal-blue in an effort to photosynthesize effectively in the shade. Less bright indirect light will also limit flowering. As with all bromeliads and epiphytes, Aechmea fasciata requires adequate airflow around the entire plant to stay fresh. 
Over time, the plant’s roots will adhere to the surface provided, and the plant will form a small colony. The gardener simply keeps the ""cup"" or funnels filled with water. This method of cultivation is mostly executed successfully outdoors, rather than indoors, and is best-achieved in appropriate climates, especially maritime or seaside locations where the bromeliad may absorb moisture via fog and marine layer.","Aechmea fasciata, while not lethally poisonous, is listed in the FDA Poisonous Plant Database under the section ""skin-irritating substances in plants"". As bromeliads naturally produce the enzyme and alkaloid bromelain—commonly extracted from pineapples (also a bromeliad) as a supplement and digestive enzyme—, skin contact with the plant's sharp, serrated leaf margins is known to cause contact dermititis, phytophotodermatitis, and contact allergy; typical side effects are a mild, itchy sensation or redness. Therefore leather gloves are recommended when working with bromeliads, for example, arm-length or rose-pruning gloves."
8,Aglaonema,"Aglaonema is a genus of flowering plants in the arum family, Araceae. They are native to tropical and subtropical regions of Asia and New Guinea. They are known commonly as Chinese evergreens.

","Aglaonema have been grown as luck-bringing ornamental plants in Asia for centuries. They were introduced to the West in 1885, when they were first brought to the Royal Botanic Gardens, Kew. They have been cultivated, hybridized, and bred into a wide array of cultivars. They live in low-light conditions and are popular houseplants.
This mainly tropical genus is known for its intolerance of cold temperatures. Chilling injury can begin at 15 °C (59 °F). The injury manifests in dark, greasy-looking patches on the foliage.
Cultivars have been selected for their shape and size, and especially for the color and pattern of the leaves. Many have white or cream-colored stems. Some have also been developed to tolerate colder temperatures. The most common cultivar is 'Silver Queen', which has gained the Royal Horticultural Society's Award of Garden Merit.
Most propagation of Aglaonema is done with cuttings and by dividing the basal shoots. Care of the houseplant involves protecting it from cold temperatures and excessive sunlight and removing any inflorescences that develop, which can prolong the life of the plant. It requires moist soil, and while some cultivars require a small amount of fertilizer, plants are easily injured when oversupplemented. Aglaonema are prone to false mites (Brevipalpus californicus). They may also acquire populations of nematodes, such as root-knot nematodes and Pratylenchus species, which cause root lesions. Pathogens include the fungus Myrothecium roridum and bacteria such as Pseudomonas cichorii, Erwinia chrysanthemi, and Xanthomonas campestris, which can all cause leaf spot. Colletotrichum fungi can cause anthracnose.
The NASA Clean Air Study determined that the species modestum of this plant genus was effective at removing common household air toxins formaldehyde and benzene.
Aglaonema plants are poisonous due to calcium oxalate crystals. If ingested they cause irritation of the mucous membranes, and the juice can cause skin irritation and painful rash.",No data available
9,Aglaonema commutatum,"Aglaonema commutatum, the poison dart plant, is a species of flowering plant in the Chinese evergreen genus Aglaonema, family Araceae. It is native to the Philippines and northeastern Sulawesi, and has been introduced to other tropical locales, including Cuba, Puerto Rico, Trinidad and Tobago, Comoros, the Chagos Archipelago, India, Bangladesh, and the Cook Islands. Its hybrid cultivar 'Silver Queen' (with A. nitidum) has gained the Royal Horticultural Society's Award of Garden Merit as a houseplant.

",No data available,No data available
